DESCRIÇÃO;Janeiro 2026;;;Fevereiro 2026;;;Março 2026;;;Abril 2026;;;Maio 2026;;;Junho 2026;;;Julho 2026;;;Agosto 2026;;;Setembro 2026;;;Outubro 2026;;;Novembro 2026;;;Dezembro 2026;;;Feriados Abril 2026;;;Feriados Maio 2026;;
;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS
VEÍCULOS VISITANTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTOMOVEL UTILITARIO VISITANTE;8.201;4;32.804;5.881;4;23.524;5.086;4;20.344;6.722;4;26.888;6.471;4;25.884;5.051;4;20.204;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0
AUTOMOVEL UTILITARIO REBOQUE VISITANTE;193;4;772;153;4;612;105;4;420;166;4;664;170;4;680;131;4;524;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0
CAMINHAO 3 e 4 EIXOS VISITANTE;412;2;824;403;2;806;470;2;940;435;2;870;477;2;954;556;2;1.112;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
CAMINHAO 3/4 VISITANTE;290;2;580;264;2;528;232;2;464;222;2;444;254;2;508;257;2;514;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
CAMINHAO 5 e 6 EIXOS VISITANTE;17;2;34;96;2;192;163;2;326;130;2;260;99;2;198;108;2;216;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
CAMINHAO 7 EIXOS e ACIMA VISITANTE;54;2;108;131;2;262;187;2;374;121;2;242;96;2;192;92;2;184;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
CAMINHAO TOCO VISITANTE;141;2;282;139;2;278;129;2;258;134;2;268;153;2;306;156;2;312;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
MICRO ONIBUS VISITANTE;6;20;120;4;20;80;3;20;60;4;20;80;2;20;40;3;20;60;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0
MOTO ou triciclo VISITANTE;380;2;760;329;2;658;332;2;664;473;2;946;508;2;1.016;365;2;730;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
ONIBUS REGULAR VISITANTE;1;40;40;2;40;80;5;40;200;2;40;80;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0
ONIBUS ESPECIAL VISITANTE;3;45;135;5;45;225;2;45;90;0;45;0;9;45;405;3;45;135;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0
CAMINHAO COM PRODUTOS INFLAMAVEIS;26;2;52;22;2;44;29;2;58;22;2;44;19;2;38;23;2;46;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
CARRO FORTE;3;2;6;2;2;4;3;2;6;2;2;4;4;2;8;2;2;4;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
TRATOR COM CARRETA;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
